id,year,name,country,league_name
1,2016,USA MLS,USA,MLS
16,2015,USA MLS,USA,MLS
23,2014,USA MLS,USA,MLS
24,2013,USA MLS,USA,MLS
163,2017,USA MLS,USA,MLS
1076,2018,USA MLS,USA,MLS
1846,2019,USA MLS,USA,MLS
4227,2012,USA MLS,USA,MLS
4235,2011,USA MLS,USA,MLS
4241,2010,USA MLS,USA,MLS
4473,2020,USA MLS,USA,MLS
5674,2021,USA MLS,USA,MLS
6969,2022,USA MLS,USA,MLS
2,20162017,Scotland Premiership,Scotland,Premiership
164,20172018,Scotland Premiership,Scotland,Premiership
167,20152016,Scotland Premiership,Scotland,Premiership
168,20142015,Scotland Premiership,Scotland,Premiership
169,20132014,Scotland Premiership,Scotland,Premiership
223,20122013,Scotland Premiership,Scotland,Premiership
1600,20182019,Scotland Premiership,Scotland,Premiership
2361,20192020,Scotland Premiership,Scotland,Premiership
4478,20202021,Scotland Premiership,Scotland,Premiership
5992,20212022,Scotland Premiership,Scotland,Premiership
3,20162017,Germany Bundesliga,Germany,Bundesliga
4,20152016,Germany Bundesliga,Germany,Bundesliga
5,20142015,Germany Bundesliga,Germany,Bundesliga
7,20132014,Germany Bundesliga,Germany,Bundesliga
177,20172018,Germany Bundesliga,Germany,Bundesliga
1636,20182019,Germany Bundesliga,Germany,Bundesliga
4105,20122013,Germany Bundesliga,Germany,Bundesliga
4123,20112012,Germany Bundesliga,Germany,Bundesliga
4133,20102011,Germany Bundesliga,Germany,Bundesliga
4140,20092010,Germany Bundesliga,Germany,Bundesliga
4392,20192020,Germany Bundesliga,Germany,Bundesliga
4624,20082009,Germany Bundesliga,Germany,Bundesliga
4628,20072008,Germany Bundesliga,Germany,Bundesliga
4629,20062007,Germany Bundesliga,Germany,Bundesliga
4673,20202021,Germany Bundesliga,Germany,Bundesliga
6192,20212022,Germany Bundesliga,Germany,Bundesliga
6,20162017,Europe UEFA Champions League,Europe,UEFA Champions League
157,20152016,Europe UEFA Champions League,Europe,UEFA Champions League
158,20142015,Europe UEFA Champions League,Europe,UEFA Champions League
159,20132014,Europe UEFA Champions League,Europe,UEFA Champions League
247,20172018,Europe UEFA Champions League,Europe,UEFA Champions League
1534,20182019,Europe UEFA Champions League,Europe,UEFA Champions League
2202,20192020,Europe UEFA Champions League,Europe,UEFA Champions League
4053,20122013,Europe UEFA Champions League,Europe,UEFA Champions League
4062,20112012,Europe UEFA Champions League,Europe,UEFA Champions League
4071,20102011,Europe UEFA Champions League,Europe,UEFA Champions League
4081,20092010,Europe UEFA Champions League,Europe,UEFA Champions League
4655,20202021,Europe UEFA Champions League,Europe,UEFA Champions League
5977,20212022,Europe UEFA Champions League,Europe,UEFA Champions League
8,2016,Malaysia Super League,Malaysia,Super League
15,2017,Malaysia Super League,Malaysia,Super League
992,2018,Malaysia Super League,Malaysia,Super League
1859,2019,Malaysia Super League,Malaysia,Super League
3213,2015,Malaysia Super League,Malaysia,Super League
3218,2014,Malaysia Super League,Malaysia,Super League
3693,2020,Malaysia Super League,Malaysia,Super League
5624,2021,Malaysia Super League,Malaysia,Super League
7044,2022,Malaysia Super League,Malaysia,Super League
9,20162017,England Premier League,England,Premier League
10,20152016,England Premier League,England,Premier League
11,20142015,England Premier League,England,Premier League
12,20132014,England Premier League,England,Premier League
161,20172018,England Premier League,England,Premier League
246,20122013,England Premier League,England,Premier League
1625,20182019,England Premier League,England,Premier League
2012,20192020,England Premier League,England,Premier League
3119,20112012,England Premier League,England,Premier League
3121,20102011,England Premier League,England,Premier League
3125,20092010,England Premier League,England,Premier League
3131,20082009,England Premier League,England,Premier League
3137,20072008,England Premier League,England,Premier League
4759,20202021,England Premier League,England,Premier League
6135,20212022,England Premier League,England,Premier League
13,20162017,Portugal Liga NOS,Portugal,Liga NOS
14,20152016,Portugal Liga NOS,Portugal,Liga NOS
17,20142015,Portugal Liga NOS,Portugal,Liga NOS
18,20132014,Portugal Liga NOS,Portugal,Liga NOS
173,20172018,Portugal Liga NOS,Portugal,Liga NOS
1593,20182019,Portugal Liga NOS,Portugal,Liga NOS
2321,20192020,Portugal Liga NOS,Portugal,Liga NOS
4225,20122013,Portugal Liga NOS,Portugal,Liga NOS
4232,20112012,Portugal Liga NOS,Portugal,Liga NOS
4238,20102011,Portugal Liga NOS,Portugal,Liga NOS
4885,20202021,Portugal Liga NOS,Portugal,Liga NOS
6117,20212022,Portugal Liga NOS,Portugal,Liga NOS
19,20162017,Turkey Süper Lig,Turkey,Süper Lig
20,20152016,Turkey Süper Lig,Turkey,Süper Lig
21,20142015,Turkey Süper Lig,Turkey,Süper Lig
175,20172018,Turkey Süper Lig,Turkey,Süper Lig
1614,20182019,Turkey Süper Lig,Turkey,Süper Lig
2648,20192020,Turkey Süper Lig,Turkey,Süper Lig
4840,20202021,Turkey Süper Lig,Turkey,Süper Lig
6125,20212022,Turkey Süper Lig,Turkey,Süper Lig
22,20162017,England Championship,England,Championship
25,20152016,England Championship,England,Championship
26,20142015,England Championship,England,Championship
27,20132014,England Championship,England,Championship
165,20172018,England Championship,England,Championship
1624,20182019,England Championship,England,Championship
2187,20192020,England Championship,England,Championship
3141,20122013,England Championship,England,Championship
3143,20112012,England Championship,England,Championship
3146,20102011,England Championship,England,Championship
3147,20092010,England Championship,England,Championship
3148,20082009,England Championship,England,Championship
4912,20202021,England Championship,England,Championship
6089,20212022,England Championship,England,Championship
28,20162017,England EFL League One,England,EFL League One
29,20152016,England EFL League One,England,EFL League One
30,20142015,England EFL League One,England,EFL League One
31,20132014,England EFL League One,England,EFL League One
166,20172018,England EFL League One,England,EFL League One
1564,20182019,England EFL League One,England,EFL League One
2191,20192020,England EFL League One,England,EFL League One
3950,20122013,England EFL League One,England,EFL League One
3951,20092010,England EFL League One,England,EFL League One
3952,20112012,England EFL League One,England,EFL League One
4845,20202021,England EFL League One,England,EFL League One
4923,20102011,England EFL League One,England,EFL League One
6017,20212022,England EFL League One,England,EFL League One
32,20162017,England EFL League Two,England,EFL League Two
33,20152016,England EFL League Two,England,EFL League Two
170,20172018,England EFL League Two,England,EFL League Two
1574,20182019,England EFL League Two,England,EFL League Two
2192,20192020,England EFL League Two,England,EFL League Two
4844,20202021,England EFL League Two,England,EFL League Two
6015,20212022,England EFL League Two,England,EFL League Two
34,20162017,Spain La Liga,Spain,La Liga
